                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0008,                  1.353,                 1.1997,                0.52733,                0.59771,                0.56094,                0.37091,                 1.1519,                 1.4564,                 1.2843,             0.00025326,             0.00025326,             0.00025326
                     25,                0.96118,                 1.3349,                 1.1733,                0.53655,                0.56293,                0.55563,                0.37365,                 1.1376,                 1.4455,                 1.2611,              0.0002395,              0.0002395,              0.0002395
                     26,                0.97469,                 1.3107,                 1.1844,                0.55073,                0.56873,                0.58721,                0.39692,                 1.0958,                 1.4022,                 1.2371,             0.00022574,             0.00022574,             0.00022574
                     27,                0.96778,                 1.3288,                 1.1994,                0.55635,                0.55542,                0.59688,                0.40374,                 1.0818,                 1.3431,                 1.2333,             0.00021197,             0.00021197,             0.00021197
                     28,                0.96006,                 1.2935,                 1.1794,                0.55248,                0.59251,                0.59817,                0.41568,                 1.0794,                 1.2609,                 1.2489,             0.00019821,             0.00019821,             0.00019821
                     29,                0.93162,                 1.2914,                 1.1541,                0.54356,                0.57545,                0.61358,                0.43226,                 1.0752,                 1.2349,                 1.2538,             0.00018445,             0.00018445,             0.00018445
                     30,                 0.9583,                 1.2482,                 1.1863,                 0.7289,                0.53476,                 0.6043,                 0.4174,                 1.0382,                 1.2382,                 1.2204,             0.00017069,             0.00017069,             0.00017069
                     31,                0.88922,                 1.2699,                 1.1724,                0.70585,                0.54068,                0.59606,                0.41063,                 1.0328,                 1.2544,                  1.214,             0.00015693,             0.00015693,             0.00015693
                     32,                0.89099,                 1.2219,                 1.1734,                0.65904,                0.50477,                0.54863,                0.39571,                 1.0489,                 1.3098,                 1.2469,             0.00014317,             0.00014317,             0.00014317
                     33,                0.84466,                 1.1708,                 1.1417,                0.66315,                0.50462,                0.54518,                0.38577,                 1.0609,                 1.3641,                 1.2634,             0.00012941,             0.00012941,             0.00012941
                     34,                0.87161,                 1.1982,                 1.1424,                0.56746,                 0.5665,                0.54762,                0.37114,                 1.0856,                 1.4198,                 1.2967,             0.00011565,             0.00011565,             0.00011565
                     35,                0.85347,                 1.1732,                 1.1347,                0.55065,                0.57841,                0.55149,                0.37637,                  1.092,                 1.3697,                 1.2882,             0.00010189,             0.00010189,             0.00010189
                     36,                0.83577,                 1.1081,                 1.1049,                0.60268,                0.58134,                0.59204,                0.40178,                 1.0745,                 1.2853,                 1.2642,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     37,                0.80442,                 1.0429,                 1.1078,                0.63251,                0.56694,                0.60341,                0.41115,                 1.0646,                 1.2746,                 1.2466,             7.4365e-05,             7.4365e-05,             7.4365e-05
                     38,                0.84093,                 1.0864,                 1.1189,                0.63262,                0.56724,                0.60742,                0.41468,                 1.0512,                 1.2676,                 1.2258,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     39,                0.81995,                 1.0491,                 1.1261,                0.62925,                0.57215,                0.60689,                 0.4146,                 1.0511,                 1.2672,                 1.2194,             4.6843e-05,             4.6843e-05,             4.6843e-05
                     40,                0.82395,                 1.0458,                 1.1201,                0.50239,                0.66941,                0.60891,                0.41748,                  1.041,                  1.244,                 1.2032,             3.3082e-05,             3.3082e-05,             3.3082e-05
